nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour
HADES 250,2171173,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
HADES 250,2171173,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
HADES 250,2171173,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
ALCANCE SYNC TEC,2160817,clomazone (Clomazone) 43.0 g/L | pendiméthaline (Pendimethalin) 298.0 g/L,Maïs*Désherbage,Autorisé,2.5,L/ha,
MAZA 4% SL,2171025,imazamox (Imazamox) 40.0 g/L,Tournesol*Désherbage,Autorisé,1.25,L/ha,
DELFIN,9200482,Bacillus thuringiensis subsp. Kurstaki souche SA 11  (Bacillus thuringiensis subsp. Kurstaki strain SA 11) 32000000 UI/g,Maïs doux*Trt Part.Aer.*Chenilles phytophages,Autorisé,1.5,kg/ha,3.0
ATLANTIS STAR,2170236,iodosulfuron-méthyl-sodium (Iodosulfuron) 9.0 g/kg | mésosulfuron-méthyl (Mesosulfuron) 45.0 g/kg | thiencarbazone-méthyl (Thiencarbazone) 22.5 g/kg | méfenpyr-diéthyl (Mefenpyr) 135.0 g/kg,Blé*Désherbage,Autorisé,0.33,kg/ha,
FOX,2180672,bifénox (Bifenox) 480.0 g/L,Orge*Désherbage,Autorisé,1.5,L/ha,
FOX,2180672,bifénox (Bifenox) 480.0 g/L,Blé*Désherbage,Autorisé,1.5,L/ha,
TEMSA SC,2170425,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
TEMSA SC,2170425,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
TEMSA SC,2170425,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
TEMSA SC,2170425,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
